"","City","Country","IOClass1","IOClass2","IODescription","IOSpecific","Source","CropsConcerned","IOLifeTime","Count","AreaOfBase","Material1","Material1Description","AmountMaterial1","UnitsMaterial1","Material2","Material2Description","AmountMaterial2","UnitsMaterial2","Material3","Material3Description","AmountMaterial3","UnitsMaterial3","Material4","Material4Description","AmountMaterial4","UnitsMaterial4","Material5","Material5Description","AmountMaterial5","UnitsMaterial5","Material6","Material6Description","AmountMaterial6","UnitsMaterial6","UnknownMaterial","UsedInLCA","MeasurementMethod","RaisedBedMaterialBased","SoilOM","SoilpH","SoilN","SoilP","SoilK","SoilMg","SoilTexture","SoilPAH","SoilPb","FoodProductionArea","AssociatedProducts","AssociatedInfra","Allocation.to.food.production...JKH.Formula","Conservative.allocation.to.food.production...JH","Material1ReclaimedOrRecycled","Material2ReclaimedOrRecycled","Material3ReclaimedOrRecycled","Material4ReclaimedOrRecycled","Material5ReclaimedOrRecycled","Material6ReclaimedOrRecycled","FarmType","Farm"
"25","New York","US","Infrastructure","Raised Beds","","","New","",7,5,5.95,"Wood (new)","",0.2686,"m3","Top soil","",1.2846,"m3","Compost (industrial)","",1.2846,"m3","","",NA,"","","",NA,"","",NA,NA,"","","Yes","Field Measurement","Soil,Protective Membrane","",NA,NA,NA,NA,NA,"",NA,NA,1098,"","Raised Beds","100%","100%","New","New","New","New","New","New","Urban Collective Garden","FU"
"26","New York","US","Infrastructure","Raised Beds","","","New","",7,1,2.79,"Wood (new)","",0.208,"m3","Top soil","",0.815,"m3","Compost (industrial)","",0.815,"m3","","",NA,"","","",NA,"","",NA,NA,"","","Yes","Field Measurement","Soil,Protective Membrane","",NA,NA,NA,NA,NA,"",NA,NA,1098,"","Raised Beds","100%","100%","New","New","New","New","New","New","Urban Collective Garden","FU"
"27","New York","US","Infrastructure","Storage shed or box","","Port Containers - standard height","Reused","",NA,1,14.74,"Steel","",2219.881,"kg","","",NA,"","","",NA,"","","",NA,"","","",NA,"","",NA,NA,"","","Yes","Product Specifications","Null","",NA,NA,NA,NA,NA,"",NA,NA,1098,"","Storage shed/box","100%","100%","New","New","New","New","New","New","Urban Collective Garden","FU"
"28","New York","US","Infrastructure","Storage shed or box","","Knaack #4824","New","",NA,1,NA,"Steel","",71.6676,"kg","","",NA,"","","",NA,"","","",NA,"","","",NA,"","",NA,NA,"","","Yes","Product Specifications","Null","",NA,NA,NA,NA,NA,"",NA,NA,1098,"","Storage shed/box","100%","100%","New","New","New","New","New","New","Urban Collective Garden","FU"
"29","New York","US","Infrastructure","Table","","","New","",NA,2,NA,"Wood (new)","",0.1121,"m3","Steel","13 guage thickness",0.0024,"m3","","",NA,"","","",NA,"","","",NA,"","",NA,NA,"","","Yes","Product Specifications","Null","",NA,NA,NA,NA,NA,"",NA,NA,1098,"","Table","5%","0%","New","New","New","New","New","New","Urban Collective Garden","FU"
"30","New York","US","Infrastructure","Water Tank","","Schutz MX 1000L","New","",NA,1,NA,"HDPE (high-density polyethylene)","",59,"kg","Steel","",56,"kg","Concrete","4 cinderblocks",69,"kg","","",NA,"","","",NA,"","",NA,NA,"","","Yes","Product Specifications","Null","",NA,NA,NA,NA,NA,"",NA,NA,1098,"","Water Tank","100%","100%","New","New","New","New","New","New","Urban Collective Garden","FU"
"31","London","GB","Infrastructure","Compost Bins","","","New","",NA,1,2.2,"Wood (new)","",0.292,"m3","","",NA,"","","",NA,"","","",NA,"","","",NA,"","",NA,NA,"","","Yes","Field Measurement","Null","",NA,NA,NA,NA,NA,"",NA,NA,144,"","Compost Bins","100%","100%","New","New","New","New","New","New","Urban Collective Garden","ZJ"
"32","London","GB","Infrastructure","Compost Bins","","","New","",NA,1,NA,"Steel","https://www.amazon.co.uk/Galvanised-dustbin-metal-lid-Dustbin/dp/B005O4TVFW",4.1,"kg","","",NA,"","","",NA,"","","",NA,"","","",NA,"","",NA,NA,"","","Yes","Product Specifications","Null","",NA,NA,NA,NA,NA,"",NA,NA,144,"","Compost Bins","100%","100%","New","New","New","New","New","New","Urban Collective Garden","ZJ"
"33","London","GB","Infrastructure","Compost Bins","","","New","",NA,1,4.75,"Wood (new)","",1.772,"m3","","",NA,"","","",NA,"","","",NA,"","","",NA,"","",NA,NA,"","","Yes","Field Measurement","Null","",NA,NA,NA,NA,NA,"",NA,NA,144,"","Compost Bins","100%","100%","New","New","New","New","New","New","Urban Collective Garden","ZJ"
"34","London","GB","Infrastructure","Hoop Houses","","","New","",NA,1,49.59,"Unknown plastic","",103.35,"m2","Galvanized steel tube","",144.06,"kg","","",NA,"","","",NA,"","","",NA,"","",NA,NA,"","LDPE (low-density polyethylene)","Yes","Field Measurement","Null","",NA,NA,NA,NA,NA,"",NA,NA,144,"","Hoop Houses","100%","100%","New","New","New","New","New","New","Urban Collective Garden","ZJ"
